 APARTAMENTO EN RENTA ZONA 10 - 114mts2 IQ10,Zona 10 ,"$1,350 ","APARTAMENTO EN RENTA IQ1015 avenida 16-37 zona 10Construcción 114mts2 - Nivel 162 Parqueos individualesSala, comedor, cocina con ... "
" APARTAMENTO EN RENTA ZONA 2, PARQUE SAN ANGEL",Zona 2 ,"Q4,500 ","APARTAMENTO EN RENTA ZONA 2, PARQUE SAN ANGEL61 m2 de construcción / 1 habitación / 1 baño / 2 parqueos / Balcón / Sala familiar / Remodelado / ... Ver más"
,,,
" SENDEROS APARTAMENTOS EN ALQUILER NUEVOS, ZONA 16",Zona 16 ,"Q6,000 ","SENDEROS APARTAMENTOS EN ALQUILER NUEVOS, ZONA 16Ubicado 3r. Nivel, se suben gradas, cerca del Hospital Militar.Donde encontrarás colegios, ... "
,,,
" APARTAMENTO EN RENTA ZONA 10, EDIFICIO 19DIEZ",Zona 10 ,$950.00 (Rebajado 14%),"APARTAMENTO EN RENTA ZONA 10, EDIFICIO 19DIEZ83 m2 de construcción / 1 habitación / 1.5 baños / 1 parqueo / Aire acondicionado en habitación ... "
 En renta Apartamento nuevo zona 15,Guatemala ,"Q6,500 ","En renta apartamento con linea blanca nueva en zona 15 ciudad Guatemala,2 habitaciones, 2 baños, 2 parqueos, "
 Alquiler de Apartamento Zona 12 Monte Maria,Zona 12 ,"Q3,300 ","Apartamento en zona 12 Moderno* 2 Habitaciones con Closet* 1 Baño Moderno y de buen tamaño, Calentador Ahorrador yExtractor de Olores* ... "
 Renta apartamento amueblado zona 11 Vistas de Las Charcas,Zona 11 ,"Q5,500 ",Renta apartamento amueblado zona 11 Las Charcas 
" Espectacular apartamento en alquiler, amueblado de dos habitaciones, en zona 10",Zona 10 ,$950.00 (Rebajado 5%),"Por mucho y todo, zona 10, es de donde puedes ir a venir a muchos lugares, y acá tenemos un espectacular apartamento en alquiler, amueblado de dos ... "
,,,
 ALQUILER DE APARTAMENTO EN ZONA 07 PARQUE MATEO PARA ESTRENAR - BT8356,Zona 7 ,"Q5,500 ","Viva en un lugar privilegiado ubicado a pocos metros de Calzada Roosevelt y San Juan y Centros Comerciales de prestigio, con excelentes amenidades ... "
 Alquiler de apartamento ideal para 1 persona en sector 2 de Villa Linda II,Zona 7 ,"Q1,500 (Rebajado 40%)","Apartamentos ideal para 1 persona máximo de 2 personas en total, en excelente ubicación de la zona 7 con cercanías a universidades como San Carlos ... "
 Apartamento en Renta ubicado en Zona 1 dentro de Colonia Lomas de Portugal,Zona 1 ,"Q2,500 ","Amplio apartamento para un máximo de 4 personas en total. Ubicado en Colonia Lomas de Portugal zona 1 de Mixco.Renta Mensual Q2,500 en el pago de ... "
 Zona 10 apartamento en renta pet friendly,Zona 10 ,"$1,350 (Rebajado 4%)","Apartamento en renta en IQDIEZ , 3 habitaciones , 2 baños completos , 2 parqueos , 1 bodega, edificio cuenta con gimnasio , jacuzzi, piscina , ... "
 Apartamento en Renta Zona 4 codigoDA30305,Zona 4 ,$650.00 ,DormitorioBaño completoLínea blanca en la cocina1 parqueotiene lavadora y secadoraTiene un balconcito con grama sintética$650 Mantenimiento ... Ver más
 RENTO BELLO APARTAMENTO CON LINDA VISTA EN ZONA 10 EDIFICIO SAN IGNASIO,Zona 10 ,"$2,000 ","Ideal Para Diplomáticos o Multinacionales. Son 200 m² solo de Apartamento, Totalmente Amueblado y Equipado.Descripción:Lobby de EsperaAmplia ... "
 ALQUILER APARTAMENTO AMUEBLADO ZONA 15,Zona 15 ,$800.00 ,*RENTA**APARTAMENTO AMUEBLADO**ZONA 15*Precio Renta $800 incluye mantenimiento.76 M2Sala. Comedor. Cocina.Baño social.Balcón.Una ... 
 RENTO APARTAMENTO AMUEBLADO EN TORRE NOVA ZONA 13,Zona 13 ,$850.00 ,"Nivel medio 82 m²1 Habitación con bañoBaño de visitas1 ParqueoSala, comedor y cocinaÁrea de lavanderíaAmenidades del ... "
 Apartamento amueblado renta 2 habitaciones zona 13,Zona 13 ,"Q6,500 ","Apartamento amueblado renta 2 habitaciones zona 13Torrenova2 habitacionesAmueblando (sala, Tv’, línea blanca (refrigerador, estufa, lavadora, ... "
,,,
 Apartamento en alquiler 3 habitaciones zona 10,Zona 10 ,"$1,800 ",Apartamento en alquiler 3 habitaciones zona 10IQ10152.mts23 habitaciones2 bañosSalaComedorCocinabalcón2 parqueosCódigo: ... 
,,,
 Alquilo Apartamento en zona 10 amueblado 2 habitaciones,Guatemala City ,"$2,000 ","Apartamento Amueblado en Renta en la ZONA 10, el apartamento en alquiler tiene piso de madera, cocina equipada con electrodomésticos, cortinas, ... "
 Apartamento nuevo y moderno en renta en zona 14 Ref-2962,Guatemala City ,$800.00 ,Apartamento nuevo y moderno en renta en zona 14 Ref-2962Vista a la calle87 mt23 HabitacionesNuevo y moderno2 baños completos2 Parqueos ... 
" Apartamento en renta de 2 Habitaciones, en zona 10 Ref-2967",Guatemala City ,"$1,150 ","Apartamento en renta de 2 Habitaciones, en zona 10 Ref-2967Descripción :Nivel bajo126m2 + 2 parqueosBaño de visitasSalaComedorCocina ... Ver más"
 Alquilo Apartamento en Zona 14,Zona 14 ,$875.00 ,"APARTAMENTO DE 107 M2 DE CONSTRUCCIÓN EN RENTA, ZONA 14* 107 m2 de construcción* 2 Habitaciones* 2 Baños* 2 ParqueosHabitación 1: ... "
 APARTAMENTO EN ALQUILER MUXBALIA 2 HABITACIONES,Santa Catarina Pinula ,"$1,524 ","ALQUILO APARTAMENTOMUXBALIANIVEL 9DISPONIBLE 16 DE JUNIOÁrea del apartamento incluye balcón 137 mts22 Parqueos Sótano 1Baño de visitas, ... "
,,,
 Apartamento nuevo en renta en Zona 10 EDIFICIO CON PISCINA Y GYM,Zona 10 ,"$1,100 ","-Sala de visitas-Comedor-Cocina incluye estufa, refrigeradora, campana-Balcón-Lavandería independiente incluye lavadora y secadora-Dormitorio ... "
 Alquiler de amplio apartamento en zona 14!! Edificio TADEUS,Zona 14 ,"Q16,200 ","salacomedorcocina con pantry, gabinetes de cocinalínea blanca completaárea de lavanderíacuarto servicio con bañoamplia salaamplio ... "
 Rento apartamento en Zona 14 UBICACION EXCLUSIVA,Zona 14 ,$750.00 ,Edificio en zona 14excelente ubicacionAPTO.salacomedorcocina con gabinetesLINEA BLANCA2 DORMS.2 BAÑOS COMPLETOSBAÑO DE VISITASCuarto de ... 
 RENTO LINDO APARTAMENTO AMUEBLADO EN ZONA 10 EDIFICIO VEINTI4,Zona 10 ,"$1,100 ",140 m²Nivel alto con balcón2 Habitaciones la master con walking closet y bañoSegunda habitación comparte baño con visitasLínea blanca ... 
" 1 dormitorio, PARQUE 10",Zona 10 ,$725.00 ,"Alquilo apartamento NUEVO en Edificio Parque 10, cerca del centro comercial la estación y de Oakland MallCaracterísticas del apartamento:1 ... "
" Zona 10 alquilo precioso townhouse cerca de Oakland, 3 dormitorios, US$1,350",Zona 10 ,"$1,350 ","Alquilo precioso apartamento en segundo nivel en zona 10 cerca de Oakland, a unos metros de la diagonal 6.Excelente ubicación-Dormitorio ... "
 Renta Apartamento Zona 10 codigo.CA31230,Zona 10 ,"$1,300 ","Dentro de Colonia- Área Construida: 215 m- 3 habitaciones,la principal con baño y walk in closet, las otras dos comparten baño,- sala ... "
" Zona 14 alquilo precioso apto. para estrenar, 3 dormitorios, 3.5 baños, 2 estacionamientos $1,550",Zona 14 ,"$1,550 ",Alquilo precioso apartamento para estrenar en Zona 14 Casa RobleA una cuadra de Avenida Las Américas- 3 dormitorios con closet y baño- Baño de ... 
 Alquilo zona 15 VH1 apto moderno 1 dormitorio,Zona 15 ,"Q5,500 ",DENTRO DE GARITA62 mt2 de apto +1 parqueoSalaComedorCocinaBaño de visitas1 dormitorio1 baño completoWalkingcloset1 parqueoGymSalon ... 
,,,
" Zona 13 alquilo Apto. 3 Dormitorios, 2 Estacionamientos, Ambientes Amplios, $1,200",Zona 13 ,"$1,200 ","Alquilo precioso apartamento en zona 13 a una cuadra de Avenida Las AméricasAmbientes amplios, excelente ubicación, seguridad-Dormitorio ... "
,,,
 Apartamento renta 1 habitación zona 10,Zona 10 ,"$1,000.00 ",Apartamento renta 1 habitación zona 10Edificio Urbana74.48 m21 dormitorio1 baño completoCloset1 baño visitasSalaComedor pequeñoCocina ... Ver más
" Alquilo lindo apartamento Torre Santa Elisa zona 12 Q4,500 3 habitaciones",Zona 12 ,"Q4,500 ","ubicación inmejorable a tan solo dos cuadras de la USAC, accesos inmediatos con farmacias, supermercados, bancos, universidad, centros comerciales y ... Ver más"
" Alquilo lindo apartamento en Torre Mariscal Q3,900",Zona 11 ,"Q3,900 ","Apartamento de 45mt² mas 1 parqueo en sótano. Sala, comedor, cocina, lavandería cerrada con pila, 2 dormitorios con closet, 1 baño completo. ... "
" Alquilo lindo apartamento zona 14 amueblado $1,750",Zona 14 ,"$1,750 ","Alquilo apartamento en el corazón de la zona 14 cerca de todo, de dos habitaciones, completamente amueblado , camas nuevas.Metros construcción - ... "
" Alquilo lindo apartamento en Pamplona zona 13 Q4, 500",Zona 12 ,"Q4,500 ","Torre Pamplona, frente a Lomas de Pamplona.Apartamento nivel medio con linda vista a áreas verdes.58m² de apartamento y 2 parqueos en ... "
,,,
" Alquilo apartamento amueblado edificio MIRA Zona 10, 1 habitación Q5,000",Zona 10 ,"Q5,000 ","Alquilo lindo apartamento amueblado en zona 10 nivel bajo, edificio con terrazas y lindas vistasGimnasio, plaza con mini super y café, sala ... "
 Renta Apartamento Zona 15 codigo.CA31228,Zona 15 ,"$1,250 ",• 125 m2• Nivel alto• Baño de visitas• Sala-comedor con amplio balcón• Desayunador• Cocina con gabinetes y línea blanca• Área ... Ver más
 RENTO LINDO APARTAMENTO EN PARQUE MATEO ZONA 7,Zona 7 ,"Q4,500 ","73.5 m²SalaComedorCocina con gabinetes3 Dormitorios2 BañosClosetsLavanderíaPrecio de renta Q4,500.00 sin línea blancaQ5,500 con línea ... "
 Renta Apartamento Zona 16 codigo.CA31227,Zona 16 ,$750.00 ,Construcción: 47 m21 habitación1 baño completo1 parqueo en sótano 2 torre AEquipado con línea blanca y cortinas4 Torres de Apartamento con ... 
 RENTO PENTHOUSE EN TORRE CONDESA ZONA 14,Zona 14 ,"$2,500 ",Construcción: 320 m22 niveles4 Habitaciones3 BañosSala / Comedor / Cocina equipadaSala familiarÁrea de lavanderíaCuarto de servicio con ... 
 SE RENTA APARTAMENTO EN EDIFICIO PARQUE MATEO EN ZONA 7,Zona 7 ,"Q4,500 ",NUEVO PARA ESTRENAR62 m² De Construcción2 Habitaciones2 Baños Completos1 Parqueo de Carro y 1 de MotoSalaComedorCocina Con Gabinetes ... 
 Renta Apartamento Zona 16 codigo.CA31221,Zona 16 ,$886.00 ,"- Nuevo para estrenar, equipado con línea blanca- A 5 minutos de Embajada Americana- Área con garita de seguridad- 110 mts2.- 2 dormitorios- 2 ... "
 Apartamento renta 1 habitación zona 15,Zona 15 ,$996.00 ,Apartamento renta 1 habitación zona 15Apartamento Edificio Boutique Z.15 VHII88mtrs21 habitacionesW/C y bañoCocina abiertaBaño de visitas ... 
 Apartamento 2 habitaciones zona 10,Zona 10 ,$850.00 ,Apartamento 2 habitaciones zona 10Edificio CityhausÁrea 74.89 mts2 + 2 parqueos tándemHabitaciones: 2 (máster con baño y walk in ... 
,,,
" Apartamento amueblado en renta, en zona 11 Ref-2955",Guatemala City ,"Q3,900 ","Apartamento en renta, en zona 11 Ref-2955DESCRIPCION-Amueblado-1 Habitacion-1 baño-Sala-Comedor-Cocina-Area de lavanderia-1 Parqueo ... "
,,,
 Rento apartamento en Carretera a El Salvador Km16.5 Ref-2956,Guatemala City ,"Q4,500 ",Rento apartamento en Carretera a El Salvador Km16.5 Ref-2956Nivel bajo 105 mts3 HabitacionesHabitación principal con baño y walking closet2 ... Ver más
 Rento Apartamento en Mariscal zona 11 Ref-2957,Guatemala City ,"Q4,800 ",Rento Apartamento en Mariscal zona 11 Ref-2957Primer nivel vista a la amenidades2 habitaciones con closet2 baños completos2 parqueos tandem ... 
" Apartamento en renta de 2 Habitaciones, en zona 15 Ref-2958",Guatemala City ,$950.00 ,"Apartamento en renta de 2 Habitaciones, en zona 15 Ref-2958DESCRIPCION96mts + 2 parqueos y bodega2 Habitaciones2 bañosSalaComedorCocina ... "
" Rento Apartamento de 2 Habitaciones, en Kanajuyu zona16 Ref-2960",Guatemala City ,"Q6,500 ","Rento Apartamento de 2 Habitaciones, en Kanajuyu zona16 Ref-2960DESCRIPCION:A 5 minutos de CayalaUn complejo habitacional dentro de un área de ... "
" Rento Apartamento con acabados de lujo, en zona 14 Ref-3085",Guatemala City ,"$1,250 ","Rento Apartamento con acabados de lujo, en zona 14 Ref-3085DESCRIPCION -120 mts2 -2 Habitaciones (principal con walk in closet y baño y tina) -2 ... "
,,,
 SE RENTA APARTAMENTO EN EDIFICIO PARQUE MATEO EN ZONA 7,Guatemala City ,$650.00 ,NUEVO PARA ESTRENARNivel 162mts2 De Construcción2 Habitaciones2 Baños Completos1 Parqueo de Carro y 1 de MotoSalaComedorCocina Con ... 
 Alquiler de apartamento en zona 21 Colonia Las macadamias,Zona 21 ,"Q1,200 ","Apartamento para una o dos personas . Dos cuartos, baño y pila propia. No se permiten mascotas. El pago de alquiler es de Q. 1,200 , incluye ... "
 Renta Apartamento Zona 14 codigo.CA31218,Zona 14 ,$810.00 ,Para estrenarConstrucción: 64 m22 habitaciones2 bañosSala con balcónIncluye toda línea blanca nuevaMuebles de baño con espejo y luz ... 
 Apartamento en renta 3 habitaciones Zona 16 Edificio ENALTO - Kanajuyu,Zona 16 ,"$1,000.00 ",•3 Habitaciones•Habitación principal con Walk in closet y baño•2 habitaciones secundarias con closet comparten baño•Sala/comedor/ ... 
 Alquilo Apartamento grande El encinal Zona 7 de Mixco,Zona 7 ,"Q4,000 ","ALQUILO APARTAMENTO GRANDE 3 HABITACIONES Y CUARTO SE SERVICIOEl Encinal Mixco zona 7Palos Altos SuitesALQUILER Q4,000.-Incluye ... "
" Alquilo Apartamento Nuevo Segheira Zona 14, 3 habitaciones",Zona 14 ,$950.00 ,ZONA 14 EDIFICIO SEGHERIAAPARTAMENTO PARA ESTRENARALQUILER US$. 950.-incluye mantenimientoDESCRIPCIÓN:136 Mts2 de apartamento + parqueos2 ... 
" Alquilo apto de 2 hab, 2 parq (1 Moto), en 7º nivel, Z2 Parque San Angel.",Zona 2 ,"Q4,500 ","Alquilo apto de 2 hab, 2 parq (1 Moto), en 7º nivel, Z2 Parque San Angel.El apartamento cuenta con:-	2 dormitorios con clóset-	Sala – Comedor ... Ver más"
 Apartamento amueblado renta 2 habitaciones zona 10,Zona 10 ,"$1,250 ",Apartamento amueblado renta 2 habitaciones zona 10Edificio Santa MaríaSalaComedorCocinaCuarto de servicioBaño de visitasUna habitación con ... Ver más
 Apartamento renta 2 habitaciones zona 15,Zona 15 ,"$1,097 ",Apartamento renta 2 habitaciones zona 15Edificio BoutiqueZ.15 VHII98mtrs22 habitaciones2 bañosBalcónBodega2 parqueosEdificio con ... 
,,,
 Apartamento renta 2 habitaciones zona 14,Zona 14 ,"$1,250 ","Apartamento renta 2 habitaciones zona 14Nivel alto165mtrs22 habitacionesSala, comedorCocina separadaSala familiar2 bañosCuarto de ... "
,,,
 Apartamento en alquiler 2 habitaciones zona 14,Zona 14 ,$850.00 ,Apartamento en alquiler 2 habitaciones zona 14SantoriniApartamento amplio e iluminadoCuenta con 2 parqueos ... 
 Apartamento de 2 habitaciones en renta zona 4,Zona 4 ,$850.00 ,Apartamento de 2 habitaciones en renta zona 4Granat65.47 mts2Inmueble registrado cuenta con:• Sala/Comedor baño completo.2 habitaciones con ... 
 Apartamento en Renta Zona 4 codigo.CA31216,Zona 4 ,$750.00 ,- Un parqueo- Sala- Comedor- Cocina con gabinetes- Línea blanca- Dos dormitorios- Dos baños- Balcón pequeñoRenta $750.00 todos los ... 
 Apartamento amueblado 2 habitaciones zona 16,Zona 16 ,"Q5,000 ",Apartamento amueblado 2 habitaciones zona 16ALTTURE107 mts22 habitaciones1 bañoJardínSalaCocina2 parqueosCódigo: ... 
 Apartamento 72 m2 Parque Mateo,Zona 7 ,"Q4,500 ",Rento Apartamento.Información:Proyecto: Parque Mateo (sobre la calzada Mateo Flores)72 metros cuadrados2 parqueos en sotano3 habitaciones2 ... 
,,,
 ALQUILO APARTAMENTO DE DOS HABITACIONES EN ZONA 10,Zona 10 ,$875.00 ,(Código de propiedad #1874)Apartamento de 120mts² cuenta con:Parqueo para 2 vehículosSala/ComedorCocina con línea blancaArea de ... 
 Apartamento 3 habitaciones más cuarto de servicio renta zona 14,Zona 14 ,$850.00 ,Apartamento 3 habitaciones más cuarto de servicio renta zona 14La villala siguiente:3 habitaciones más cuarto de serviciosala - comedor ... 
 Zona 14 Edificio Echo 3 habitaciones,Zona 14 ,"$3,700 ","Lindo edificio con muchas amenidades , 3 habitaciones , 3.5 baños, Estudio, Sala familiar , cuarto de servicio con baño, terraza amplia, 3 parqueos ... Ver más"
 Apartamento de 1 habitación en renta zona 15,Zona 15 ,$850.00 ,Apartamento de 1 habitación en renta zona 15Z.15 VHIISalaCocina Abierta1 habitación1 baño1 ParqueoEdificio con AmenidadesCódigo: ... 
 Habitación para señorita en zona 11,Zona 11 ,"Q2,300 ","Habitación con walking closet y baño privado, incluye todos los servicios, uso de áreas comunes del apartamento: sala, comedor, cocina y ... "
" Apartamento En Renta Edificio Tadeus, Zona 14",Guatemala City ,"$2,500 ","Apartamento En Renta Edificio Tadeus, Zona 14Descripción:Nivel 112 habitaciones con Walking closet2.5 bañosSalaSala FamiliarEstudio... "
" Apartamento en Renta Condominio Villas Entreluces, CES",Santa Catarina Pinula ,$690.00 ,3 habitaciones con cortinas y closetsUna máster y 2 secundarias.Sala- comedor y cocina desayunado de top de mármol y 3 bancos.Linea blanca ... 
 Rento apartamento en Nagano 16,Santa Catarina Pinula ,"Q5,500 ","Se renta apartamento en Nagano 16A pocos minutos de Cayala zona 16Precio de renta: Q5,500 incluye mantenimiento, línea blanca, vista a los ... "
 Apartamento en Renta Parque San Angel zona 2,Zona 2 ,"Q4,000 ","APARTAMENTO RENTA PARQUE SAN ANGEL Zona 2-2 habitaciones con closets-2 baños completos,Sala comedor y cocina con gabinetes de cuarzo-un ... "
,,,
 Rento apartamento en Carretera a El Salvador. CERCA SPORTA GYM,Carretera a El Salvador ,$510.00 ,"CONDOMINIO EXCLUSIVO EN CARR SALVADORGYM, LOUNGE BAR, SALON SOCIAL, WIFI, MESA DE BILLARAPTO.salacomedorcocina con gabinetesLINEA BLANCA ... "
,,,
 Alquilo Centro Histórico lindo Apartamento,Zona 1 ,"Q3,000 ","Lindo apartamento alquilo.2 dormitorios con closets, cocina con gabinetes y estufa eléctrica, amplia salacomedor, baño con calentador, lavandería ... Ver más"
 ALQUILO APARTAMENTO EN ZONA 14,Zona 14 ,"$1,200 ","Apartamento en renta zona 14 !!!!Descripción: apartamento de tres habitaciones con dos baños completos, sala familiar, cocina completa con sus ... "
 Alquiro apartamento en San Cristobal Mixco Z8 Boulevard Sur - Codominio los Altos,Zona 8 ,"Q2,600 ",Caracteristcas del apartamento en alquiler:* 3 habitacion + 1 cuarto de servicio.* 2 baños completos.* 2 estacionamientos.* Sala y comedor.* ... 
" SE RENTA APARTAMENTO EN EDIFICIO CONDADO LA VILLA ZONA 14, LA VILLA",Guatemala City ,$850.00 ,"AMENIDADES DEL EDIFICIO Juegos para Niños, Salon Social , Parqueo de Visitas , GYM , Área de Churrasquera , LobbyVista a los VolcanesNivel ... "
 SE RENTA APARTAMENTO EN EDIFICIO PARQUE MATEO EN ZONA 7,Guatemala City ,$650.00 ,NUEVO PARA ESTRENARNivel 162mts2 De Construcción2 Habitaciones2 Baños Completos1 Parqueo de Carro y 1 de MotoSalaComedorCocina Con ... 
,,,
 SE RENTA APARTAMENTO EN EDIFICIO ARALIA 2 EN ZONA 11,Guatemala City ,$850.00 ,Nivel 780 mts2 de Construcción2 Habitaciones2 Baños completos1 ParqueoSalaComedorCocina Con GabinetesÁrea de LavanderíaBalcón1 ... 
